"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"85","TNRERA/35/BLG/0085/2026                                 dated 10-03-2026","M/s. CASA GRANDE AXIOM PRIVATE LIMITED, New No.111, Old No. 59 ,  NPL Devi, L B Road, Thiruvanmiyur, Chennai, Tamil Nadu-600041.","Project Name: CASAGRAND GLENMERERegistration for Ground Floor + First Floors 110 dwelling units with Amentity Block comprised in S.No. 1009/12A, 1009/12B, 1009/12C, 1009/12D, 1009/12E, 1009/12F, 1009/13A, 1009/13B, 1009/13C, 1009/14, 1009/17A, 1009/17B, 1010/1, 1010/2, 1010/3, 1011/1, 1011/2, 1011/3, 1439/2C, 1439/2D, 1439/3A1 & 1439/3B of Thaiyur B Village, Thiruporur Taluk, Chengalpattu District.","The President, Thaiyur Panchayat, Thiruporur Taluk, Thiruporur Panchayat Union, Chengalpattu District issued Building permission in Letter No. SWP/SCM/DTCP/RP/0305683/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0306555/2025Dated - 14/11/2025, SWP/SCM/DTCP/RP/0308182/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308224/2025 Dated - 17/11/2025, Roc No:45/2025-26 Dated - 01//12/2025, SWP/SCM/DTCP/RP/0308192/2025 Dated - 17/11/2025, SWP/SCM/DTCP/RP/0308209/2025 Dated - 17/11/2025, SWP/SCM/DTCP/RP/0308275/2025 Dated -17/11/2025, SWP/SCM/DTCP/RP/0306014/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306015/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306016/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306017/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306018/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306020/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0308486/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0305916/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305925/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305932/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305938/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305941/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305943/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305946/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305951/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305953/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0308490/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0305958/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305960/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305963/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305964/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305968/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305970/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305971/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305973/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305974/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0308485/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0306571/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306619/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306023/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306025/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306026/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306028/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306027/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306029/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306030/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/03060231/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305977/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305981/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0305983/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305984/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305985/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0305986/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305988/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305989/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0309998/2025Dated – 19/11/2025,Roc No:43/2025-26Dated – 01/12/2025SWP/SCM/DTCP/RP/0306032/2025 Dated – 14/11/2025 SWP/SCM/DTCP/RP/0306033/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306034/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0308481/2025 Dated – 17/11/2025 SWP/SCM/DTCP/RP/0306036/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0308236/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308257/2025 Dated – 17/11/2025 SWP/SCM/DTCP/RP/0306037/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306038/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306039/2025 Dated – 14/11/2025 SWP/SCM/DTCP/RP/0308483/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308475/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308458/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308471/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308920/2025 Dated – 18/11/2025,SWP/SCM/DTCP/RP/0308454/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308439/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308343/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307974/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308105/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307321/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307334/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307345/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308431/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0309562/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0307941/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307926/2025 Dated – 17/11/2025, WP/SCM/DTCP/RP/0308086/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307322/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307357/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307358/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307366/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0310252/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0309089/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0308898/2025 Dated – 18/11/2025, SWP/SCM/DTCP/RP/0307428/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308452/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308012/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307332/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307372/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307379/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307381/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307394/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308421/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307418/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307417/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307413/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307412/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307397/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307986/2025 Dated – 17/11/2025, Roc No:44/2025-26 Dated – 01/12/2025, SWP/SCM/DTCP/RP/0309552/2025 Dated 19/11/2025, SWP/SCM/DTCP/RP/0309567/2025 Dated – 19/11/2025, Roc No:46/2025-26 Dated – 01/12/2025. SWP/BPA/719373/2025 Dated 14.01.2026, Roc.No. 57/2025-26 Dated 04.02.2026.","28.02.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.75716;Longitude-80.183286;","","This Registration revises the earlier Registration given in Registration No. TNRERA/35/BLG/0005/2026 dated 02/01/2026Affidavit                                                                                                         Revised Carpet Area Statement"
"86","TNRERA/29/BLG/0086/2026                                 dated 10-03-2026","L&T REALTY PROPERTIES LIMITED, L&T CONSTRUCTION CAMPUS, TC1 BUILDING, 2ND FLOOR, MOUNT POONAMALLE ROAD, MANAPAKKAM Village , CHENNAI, Chennai, Tamil Nadu-600089.","Project Name: L&T REALTY AVINYA ENCLAVERegistration for The Planning Permission Application for the revision and proposed additional construction of High Rise Group Development Consisting of 6 Residential cum Commercial Towers with Combined & Extended Double Basement Floor and 3rd Basement Floor part (for Pump room) over & above in Tower – 1: Ground Floor +1st floor + Service floor+2nd to 15th Floor with 56 dwelling units and Shops, Health care, Super Market, Day care units @ G.Floor Floor & 1st Floor level, Tower – 2 & 3 (Combined): Ground Floor + 16 Floors with 156 dwelling units and Party Hall, Indoor Games, Mini Theatre, Association room, Yoga room & Health Club @ G.Floor, 1st Floor & 2nd Floor level, Tower – 4: Ground Floor + 16 Floors with 263 dwelling units, Tower – 5: Ground Floor + 16 Floors with 229 dwelling units with swimming pool at Ground Floor and Tower – 6: Ground Floor + 16 Floors with 98 dwelling units, Totally 802 dwelling units Abutting MountPoonamallee Road, Comprised in S.No.115/16 & 117 of Ramapuram Village, Maduravoyal Taluk, Zone-XI, Division-154 and S.No.22/1, 23 of Manapakkam Village, Alandur Taluk, Chennai District."," CMDA issued planning permission in Letter No. OL-PP/HRB/0045/2025  vide letter No. CMDA/PP/HRB/N/0251/2024 dated 27/11/2025. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN12/00534/2025 dated 19/12/2025","30.09.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.0241644;Longitude-80.1795411;","",""
"87","TNRERA/29/BLG/0087/2026                                 dated 13-03-2026","M/s.Arihanth Foundations & Housing Limited, New No.10 (Old No.8) Sir Ramasamy Street, Vepery,, Chennai, Tamil Nadu-600010.                                                                        M/s.A Bond Strands, No.P164, Developed Plots, Perungudi,, Chennai, Tamil Nadu-600096.","Project Name: ARIHANT VAAYURegistration of Stilt floor (Two level Puzzle Parking) + 4 floors IT/ITES use Building at Plot No.164, Industrial Estate Perungudi Comprised in S.No.129/1A1B & 129/1B of Pallavakkam Village, Chennai District.","CMDA issued Planning permission No. OL-PP/IND/0038/2024 in Letter No. CMDA/PP/IND/S/0456/2024 dated 02/08/2024. Greater Chennai Corporation issued Building permission in Letter No. CEBA/WDCN14/00414/2024 dated 16/08/2024.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.96235666666668;Longitude-80.24878833333334;","","Completed"
"88","TNRERA/35/BLG/0088/2026                                 dated 13-03-2026","M/s. FELIXA AND SKY HOMES LLP, Old No. 18, New No. 14, 1St Floor, Door No. 16, Balaram Road, Adyar, Chennai, Chennai, Tamil Nadu-600020.","Project Name: Felixa SKY MILANORegistration for Developer share of flats with Ground Floor + 1 st Floor with 12 dwelling units  and Commercial block (Basement + Ground+2 floors) comprised in S.No. 13/9B3E, 13/9B3C, 13/9B3D, 13/9B3B, 13/9B3Q, 13/9B3R, 13/9B3S, 13/9B3T, 13/9B3U, 13/9B3V, 13/9B3W, and 13/9B3X of Karanai Village, Thiruporur Panchayat Union, Vandalur Taluk, Chengalpattu District.","The President, Thazhambur Village Panchayat issued building permission in Lr No: SWP/SCM/DTCP/RP/0327073/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0327100/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0328104/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0328105/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0329152/2025 dated 22.12.2025, SWP/SCM/DTCP/RP/0329153/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0329154/2025, dated 21.12.2025, SWP/SCM/DTCP/RP/0329155/2025 dated 21.12.2025, SWP/SCM/DTCP/RP/0329157/2025, dated 21.12.2025, SWP/SCM/DTCP/RP/0329158/2025 dated 22.12.2025, SWP/SCM/DTCP/RP/0329159/2025 dated 22.12.2025, SWP/SCM/DTCP/RP/0329160/2025 dated 22.12.2025, 32/2025-26 dated 05.12.2025. The Assistant Director, DTCP,  Chengalpattu District approved the commercial block in  SWP/BP/MLPA(CD-5).No.125/2025 dated 12.03.2025.  The President, Thazhambur Village Panchayat issued building permission in Lr No: 32/2025-2026 dated 05.12.2025.","31.03.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.859951;Longitude-80.20619;","",""
"89","TNRERA/16/BLG/0089/2026                                 dated 13-03-2026","M.Noor Mohamed , 2) N.Sharmila , 3) M/s. Bharath Flat Promotters, F7 , BHARATH SHOPPING MALL , HEBER ROAD, Tiruchirappalli - 620  017, Tiruchirappalli, Tamil Nadu-","Project Name: Bharath SpringsRegistration for Residential Building consists of Block A - Stilt Floor + 5 Floors with 60 dwelling units , Block B- Stilt Floor + 5 Floors with 60 dwelling units , Block C - Stilt Floor + 5 Floors with 40 dwelling units , Club House Block - Stilt Floor + 3 Floors (Hall , Gym & Games) and by totaly 160 dwelling units. Comprised in S.Nos. 25/6 , 25/7 , 25/8 , 26/3A1A1B , 26/4A  of  Agaram  Village and S.No. 6/5A2A  of  Elakudi  Village  , Thiruverumbur  Taluk , Tiruchirapalli District.","The  Joint  Director , T&CP , Tiruchirapalli  District  has issued planning permission  vide letter No. SWP/BPA/486661/2025 dated 12.09.2025. The  Assistant  Commissioner , Trichy City Municipal  Corporation has issued the building permission vide letter No.  086/BL/2025/00503 dated 12.12.2025","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.799993;Longitude-78.760104;","",""
"90","TNRERA/29/BLG/0090/2026                                 dated 13-03-2026","M S SCALING VENTURES REP BY V CHETAN BAGRECHA, VELLALA STREET, Chennai, Tamil Nadu-600084.","Project Name: JAI SHANKESHWAR APARTMENTRegistration for Proposed Construction of a Stilt Floor (parking) + 5 Floors Residential Building with 10 dwelling units comprised in Old S. No: 120,121 and T.S. No: 104/1,105, Block No: 05, Ward-01 Purasawalkam Village within the limits of Greater Chennai Corporation Chennai District.","The Assistant Planner, CMDA Chennai district issued Planning Permission No. OL-PP/NHRB/0486/2025 in letter no. CMDA/PP/NHRB/N/0603/2025 dated 09.12.2025. Greater Chennai Corporation, issued building Permission letter no. CEBA/ WDCN08/ 00542/2025 dated 30.12.2025.","30.07.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.084216;Longitude-80.251463;","",""
"91","TNRERA/11/BLG/0091/2026                                 dated 13-03-2026","M/s.SREE LAKSHMI VENKATESWARA & CO, Door No.15/9, Sri Ram Layout, Saibaba Colony,, Coimbatore - 641011, Coimbatore, Tamil Nadu-","Project Name: SLV AISWARYAMRegistration for Group House Building at Block Nos.1 to 19: Ground Floor + 1 Floor with 19 Dwelling units and Amenity Block No.20: Ground Floor + 1 Floor + 2 Floor for Community hall, office, gym and swimming pool and etc. Comprised in S.No.333/1D of Veerakeralam Village, Coimbatore Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued planning permission in Letter No.SWP/BPA/008746/2023 dated 03/04/2024. The Commissioner, Coimbatore City Municipal Corporation issued building permission in Letter No.162/BL/2025/03/040/01809 dated 05/01/2026.","01.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-110053.4;Longitude-765323.8;","",""
"92","TNRERA/29/BLG/0092/2026                                 dated 13-03-2026","SRI PADMAVATHI PROMOTERS PRIVATE LIMITED , R.CHANDINI AND R.ABIRAMI, Door No.55, 3rd Main Road, Padmavathi Homes, Alwarthirunagar Annexe, Valasaravakkam, Chennai, Tamil Nadu-600087.","Project Name: GEETHAM APARTMENTSRegistration for Stilt Floor + 4 Floors +5th Floor(pt)  Residential Building with 20 dwelling units Availing Premium FSI at Plot Nos.21 & 22, Guindy Engineering College Road, Okkiyam Thoraipakkam, Chennai -600096 comprised in Old S.No.424/1 & 425/2B and New S.No.424/3 & 425/8 of Okkiyam Thoraipakkam Village within the limits of Greater Chennai corporation, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0666/2024 in Letter No. CMDA/PP/NHRB/S/0595/2024, Dated 14/11/2024.Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN15/00596/2024, Dated 11/12/2024.","31.12.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.9335774;Longitude-80.2387732;","",""
"93","TNRERA/11/BLG/0093/2026                                 dated 13-03-2026","SRI THANASI CONSTRUCTION PRIVATE LIMITED, NO.16 THAVASI NAGAR, Coimbatore, Tamil Nadu-641025.                                                                        MURTHI, NO.16 THAVASI NAGAR, Coimbatore, Tamil Nadu-641025.                                                                        palaniammal, NO.16 THAVASI NAGAR, Coimbatore, Tamil Nadu-641025.","Project Name: SUBIKSHAAM ENCLAVERegistration for Stilt Floor(Parking) + 05 Floors with 40 dwelling units  comprised in  Ward No.16 (P) T.S No. 49/3,  Block No. 8 of Telungupalayam Village, Coimbatore District.","The Joint Director, DTCP, Coimbatore  issued planning permission in P.P.No.435/2023 vide Letter No. SWP/BPA/005379/2023 Dated 31/07/2023. The Commssioner, Coimbatore Corporation  issued building permission in Letter No. 162/BL/2024/03/042/00354 Dated 07/02/2024.","20.07.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.031208;Longitude-76.929036;","",""
"94","TNRERA/29/BLG/0094/2026                                 dated 13-03-2026","A.Vijayabarathi (Land owner) , 2) M/s. Isha Homes (India) Private Limited (Promoter), Door No.Old No. 55, New No. 74,, First Avenue , Indira Nagar, Adyar, Chennai - 600  020, Chennai, Tamil Nadu-","Project Name: ISHA RIVER FRONTRegistration for  Group Housing Development comprising 2 Blocks with combined Stilt floor for Block A & B; Block A - Stilt floor + 5 floors  Residential Building with 35 dwelling units ; Block B - Stilt floor + 5 floors Residential Building with 29 dwelling units; Totally 64 dwelling units with Association Room & GYM and STP , Pump Room at Woodcreek County 15th Cross Street, Woodcreek County 14th Cross Street and Woodcreek  County 13th Cross Street, Nandambakkam, Chennai. Comprised in Old S.No.140/3 (Document), New S.No.140/3C (Patta) of  Nandambakkam  Village , Alandur  Taluk , Chennai District.","The  Assistant  Planner , CMDA , Chennai has issued planning permission vide letter No.  CMDA/PP/NHRB/S/0889/2025 dated 30.01.2026.  The  Executive  Engineer (T.P.) , Greater Chennai Corporation , Chennai has issued building permission vide letter No. CEBA/WDCN12/00051/2026  dated  04.02.2026","31.01.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.013467649243191;Longitude-80.1830555200305;","",""
"95","TNRERA/29/BLG/0095/2026                                 dated 13-03-2026","M/s PUSHKAR  PROPERTIES PRIVATE LIMITED, Mr. Vupputtur Prabhakar, Mr.Vupputtur Venkatarahul, Mr.Vupputtur Vinayakarohit,  Mr.V.Srinath, Mrs. V.Jayashree Srinath, Mr.Vupputur Srinath Sreekanth, Door No.Ethiraj House, Plot No.F-205, New No 26 F-Block First Street, Anna Nagar East, Chennai, Tamil Nadu-600102.","Project Name: ARCADIARegistration for Stilt Floor (parking) + 5 Floors Residential Building with 10 Dwelling units at Old Door No: 21, New Door No: 14, 12th Avenue / Gilchrist Avenue, Off Harington Road, Chetpet, Chennai Comprised in Old R.S. No: 321/1 and 366/1 and New T.S.No.321/30, Block No: 18 of Egmore Village, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0401/2025 in Letter No. CMDA/PP/NHRB/N/0102/2025 dated 14/10/2025. Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN08/00528/2025 dated 19/12/2025.","02.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.070756;Longitude-80.235495;","",""
